symbol,price,time

BTCUSDT,8217.80000000,1526589579.4362352
BTCUSDT,8217.80000000,1526589580.609227
BTCUSDT,8211.80000000,1526589581.8048766
BTCUSDT,8217.80000000,1526589582.984695
BTCUSDT,8217.80000000,1526589584.177757
BTCUSDT,8219.95000000,1526589585.3476706
BTCUSDT,8216.80000000,1526589587.5282333
BTCUSDT,8216.80000000,1526589588.7111487
BTCUSDT,8216.80000000,1526589589.8874843
BTCUSDT,8215.80000000,1526589604.0571513
BTCUSDT,8215.80000000,1526589605.2334754
BTCUSDT,8215.80000000,1526589606.417044
BTCUSDT,8220.00000000,1526589607.592292
BTCUSDT,8214.80000000,1526589608.7799046
BTCUSDT,8220.00000000,1526589610.1593218
BTCUSDT,8220.00000000,1526589611.3377728
BTCUSDT,8219.94000000,1526589612.741208
BTCUSDT,8219.94000000,1526589613.926311
BTCUSDT,8219.94000000,1526589615.1020157
BTCUSDT,8219.94000000,1526589616.2919238
BTCUSDT,8210.00000000,1526589923.0739229
BTCUSDT,8214.35000000,1526589924.2593274
BTCUSDT,8214.35000000,1526589925.4319024
BTCUSDT,8209.03000000,1526589926.8009336
BTCUSDT,8209.03000000,1526589928.2158623
BTCUSDT,8209.61000000,1526590718.3322344
BTCUSDT,8209.61000000,1526590719.5051494
BTCUSDT,8209.61000000,1526590720.676497
BTCUSDT,8201.00000000,1526590721.8500886
BTCUSDT,8201.00000000,1526590723.0120437
BTCUSDT,8209.43000000,1526590724.2025235
BTCUSDT,8208.55000000,1526590725.5823498
BTCUSDT,8201.01000000,1526590726.7445436
BTCUSDT,8208.54000000,1526590727.9169981
BTCUSDT,8208.54000000,1526590729.2953007
BTCUSDT,8208.54000000,1526590730.6708
BTCUSDT,8208.54000000,1526590731.8264296
BTCUSDT,8200.05000000,1526590733.007684
BTCUSDT,8208.51000000,1526590734.159009
BTCUSDT,8208.49000000,1526590735.5183337
BTCUSDT,8208.45000000,1526590736.7029798
BTCUSDT,8208.42000000,1526590738.061495
BTCUSDT,8208.41000000,1526590739.4360888
BTCUSDT,8200.00000000,1526590740.8267708
BTCUSDT,8208.54000000,1526590741.9986155
BTCUSDT,8208.42000000,1526590743.156229
BTCUSDT,8200.00000000,1526590744.3237584
BTCUSDT,8208.41000000,1526590745.4976642
BTCUSDT,8208.41000000,1526590746.9143784
BTCUSDT,8208.41000000,1526590748.0875187
BTCUSDT,8200.02000000,1526590749.2762482
BTCUSDT,8208.00000000,1526590750.4373417
BTCUSDT,8208.00000000,1526590751.608886
BTCUSDT,8208.00000000,1526590752.7866936
BTCUSDT,8208.00000000,1526590753.9458926
BTCUSDT,8208.00000000,1526590755.1456633
BTCUSDT,8208.00000000,1526590756.3278732
BTCUSDT,8208.00000000,1526590757.4968653
BTCUSDT,8208.00000000,1526590758.7184467
BTCUSDT,8208.00000000,1526590760.1267786
BTCUSDT,8208.00000000,1526590761.3441732
BTCUSDT,8208.00000000,1526590762.722339
BTCUSDT,8208.00000000,1526590763.915444
BTCUSDT,8208.00000000,1526590765.1145523
BTCUSDT,8208.00000000,1526590766.2864919
BTCUSDT,8208.00000000,1526590767.4765508
BTCUSDT,8204.03000000,1526590768.641823
BTCUSDT,8208.00000000,1526590769.8287377
BTCUSDT,8201.00000000,1526590770.9980798
BTCUSDT,8208.40000000,1526590773.363065
BTCUSDT,8208.40000000,1526590774.536496
BTCUSDT,8204.83000000,1526590775.7061572
BTCUSDT,8208.41000000,1526590776.8792336
BTCUSDT,8208.41000000,1526590778.0537841
BTCUSDT,8208.41000000,1526590779.2404828
BTCUSDT,8208.40000000,1526590780.6137395
BTCUSDT,8201.00000000,1526590781.7925444
BTCUSDT,8208.40000000,1526590783.0740142
BTCUSDT,8208.41000000,1526590784.2794485
BTCUSDT,8208.41000000,1526590785.672656
BTCUSDT,8208.41000000,1526590786.8463755
BTCUSDT,8208.00000000,1526590788.0247242
BTCUSDT,8208.00000000,1526590789.2124476
BTCUSDT,8202.00000000,1526590790.3673186
BTCUSDT,8208.00000000,1526590791.732301
BTCUSDT,8208.00000000,1526590792.9113235
BTCUSDT,8208.00000000,1526590794.0684412
BTCUSDT,8208.00000000,1526590795.2469733
BTCUSDT,8208.00000000,1526590796.621378
BTCUSDT,8202.00000000,1526590797.7865648
BTCUSDT,8202.00000000,1526590798.9572322
BTCUSDT,8208.00000000,1526590800.133807
BTCUSDT,8202.01000000,1526590801.3175142
BTCUSDT,8202.01000000,1526590802.4800508
BTCUSDT,8202.01000000,1526590803.8857317
BTCUSDT,8202.01000000,1526590805.1100638
BTCUSDT,8202.01000000,1526590806.4695055
BTCUSDT,8202.01000000,1526590807.646341
BTCUSDT,8202.01000000,1526590808.9122145
BTCUSDT,8201.00000000,1526590810.333615
BTCUSDT,8201.00000000,1526590811.548523
BTCUSDT,8206.98000000,1526590812.8033943
BTCUSDT,8206.98000000,1526590814.025236
BTCUSDT,8201.00000000,1526590815.4238505
BTCUSDT,8206.99000000,1526590816.6150098
BTCUSDT,8201.00000000,1526590817.768135
BTCUSDT,8206.99000000,1526590818.9220006
BTCUSDT,8206.99000000,1526590820.0849438
BTCUSDT,8202.00000000,1526590821.261045
BTCUSDT,8200.03000000,1526590822.4528418
BTCUSDT,8201.00000000,1526590823.627635
BTCUSDT,8201.00000000,1526590824.8346736
BTCUSDT,8200.91000000,1526590826.0197363
BTCUSDT,8202.00000000,1526590828.4843395
BTCUSDT,8202.00000000,1526590829.8846085
BTCUSDT,8202.00000000,1526590831.312572
BTCUSDT,8202.00000000,1526590832.5335631
BTCUSDT,8202.00000000,1526590833.7454872
BTCUSDT,8202.00000000,1526590834.9538143
BTCUSDT,8201.99000000,1526590836.1621943
BTCUSDT,8202.00000000,1526590837.3718948
BTCUSDT,8202.00000000,1526590838.591227
BTCUSDT,8202.00000000,1526590839.8091185
BTCUSDT,8202.00000000,1526590841.027218
BTCUSDT,8202.00000000,1526590842.254512
BTCUSDT,8201.99000000,1526590843.4808118
BTCUSDT,8200.04000000,1526590844.7315266
BTCUSDT,8200.04000000,1526590845.9453406
BTCUSDT,8202.00000000,1526590847.16481
BTCUSDT,8202.00000000,1526590848.5847192
BTCUSDT,8202.00000000,1526590849.7941065
BTCUSDT,8200.04000000,1526590851.0141418
BTCUSDT,8202.00000000,1526590852.234974
BTCUSDT,8202.00000000,1526590853.4540684
BTCUSDT,8202.00000000,1526590854.6724782
BTCUSDT,8202.00000000,1526590855.919392
BTCUSDT,8200.04000000,1526590857.1445222
BTCUSDT,8202.00000000,1526590858.5761492
BTCUSDT,8202.00000000,1526590859.8006504
BTCUSDT,8202.00000000,1526590861.0475001
BTCUSDT,8202.00000000,1526590862.2769504
BTCUSDT,8200.04000000,1526590864.5168757
BTCUSDT,8206.99000000,1526590865.7690117
BTCUSDT,8206.99000000,1526590866.9813643
BTCUSDT,8202.00000000,1526590868.1924174
BTCUSDT,8202.00000000,1526590869.4022582
BTCUSDT,8202.00000000,1526590870.616635
BTCUSDT,8202.00000000,1526590871.8318598
BTCUSDT,8202.00000000,1526590873.1141002
BTCUSDT,8202.00000000,1526590874.5492368
BTCUSDT,8202.00000000,1526590875.751904
BTCUSDT,8202.00000000,1526590876.9806454
BTCUSDT,8202.01000000,1526590878.2053645
BTCUSDT,8202.06000000,1526590879.4280906
BTCUSDT,8202.00000000,1526590880.6417983
BTCUSDT,8202.00000000,1526590881.8636131
BTCUSDT,8202.06000000,1526590883.078277
BTCUSDT,8202.00000000,1526590884.2988813
BTCUSDT,8202.00000000,1526590885.5174527
BTCUSDT,8202.06000000,1526590886.9401753
BTCUSDT,8202.06000000,1526590888.1524303
BTCUSDT,8202.06000000,1526590889.368669
BTCUSDT,8200.05000000,1526590890.5918636
BTCUSDT,8200.05000000,1526590891.8108678
BTCUSDT,8200.05000000,1526590893.222407
BTCUSDT,8202.05000000,1526590894.446934
BTCUSDT,8202.05000000,1526590895.6823018
BTCUSDT,8202.06000000,1526590896.898918
BTCUSDT,8202.06000000,1526590898.1155033
BTCUSDT,8202.06000000,1526590907.0850954
BTCUSDT,8202.06000000,1526590908.3085785
BTCUSDT,8202.06000000,1526590909.525332
BTCUSDT,8201.01000000,1526591119.030786
BTCUSDT,8202.96000000,1526591120.2489817
BTCUSDT,8202.96000000,1526591121.476388
BTCUSDT,8202.96000000,1526591122.7048643
BTCUSDT,8202.96000000,1526591123.9324455
BTCUSDT,8202.96000000,1526591125.1522012
BTCUSDT,8202.94000000,1526591126.553731
BTCUSDT,8202.94000000,1526591127.7688477
BTCUSDT,8202.94000000,1526591128.9831407
BTCUSDT,8202.94000000,1526591130.2025936
BTCUSDT,8201.01000000,1526591131.4679987
BTCUSDT,8201.01000000,1526591132.6772962
BTCUSDT,8201.02000000,1526591133.9004035
BTCUSDT,8202.97000000,1526591135.1291904
BTCUSDT,8202.94000000,1526591136.3480375
BTCUSDT,8201.01000000,1526591137.5610404
BTCUSDT,8201.01000000,1526591138.7774315
BTCUSDT,8202.94000000,1526591140.0037382
BTCUSDT,8201.01000000,1526591141.2177322
BTCUSDT,8201.01000000,1526591142.430139
BTCUSDT,8202.93000000,1526591143.6558
BTCUSDT,8202.93000000,1526591144.9455492
BTCUSDT,8202.94000000,1526591146.1609023
